Product,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0--All Merchandise,"$1,056,043","$1,278,495","$1,482,508","$1,545,821","$1,578,517","$1,621,874","$1,503,328","$1,451,460","$1,547,195","$1,665,787","$1,645,940","$1,429,995","$1,757,744","$2,066,454","$2,018,059","$2,064,517"
336--Transportation Equipment,"$165,375","$190,887","$218,049","$241,337","$258,286","$273,784","$275,643","$276,796","$278,492","$286,546","$287,261","$200,612","$223,760","$256,080","$294,899","$292,851"
325--Chemicals,"$152,255","$179,502","$197,470","$197,529","$199,502","$200,407","$193,834","$184,376","$192,785","$207,409","$208,793","$197,825","$253,990","$285,705","$278,092","$285,441"
334--Computer & Electronic Products,"$160,628","$190,435","$201,577","$203,164","$204,640","$209,123","$204,697","$201,759","$208,234","$213,593","$211,454","$199,634","$223,140","$234,546","$230,688","$259,371"
211--Oil & Gas,"$6,737","$9,643","$12,289","$11,404","$17,596","$29,587","$20,393","$22,706","$45,439","$76,479","$95,318","$83,088","$137,446","$213,442","$184,245","$180,746"
"333--Machinery, Except Electrical","$113,416","$137,800","$157,179","$159,548","$150,139","$152,587","$139,101","$124,946","$133,991","$142,736","$136,889","$123,297","$146,309","$163,822","$165,972","$164,663"
324--Petroleum & Coal Products,"$41,595","$61,438","$101,933","$111,150","$119,521","$117,956","$78,610","$66,925","$84,170","$103,915","$93,882","$62,230","$93,022","$151,936","$128,608","$127,761"
339--Miscellaneous Manufactures,"$52,740","$61,085","$69,816","$72,481","$77,852","$81,912","$78,249","$78,419","$80,383","$83,884","$82,220","$64,726","$78,323","$87,792","$92,719","$87,590"
311--Processed Foods,"$44,679","$51,889","$59,920","$64,927","$68,775","$70,684","$63,205","$61,507","$64,060","$66,390","$66,430","$67,043","$77,873","$84,560","$81,268","$83,623"
990--Other Special Classification Provisions,"$32,784","$43,900","$42,724","$40,898","$42,523","$43,817","$41,843","$40,499","$42,788","$46,792","$47,521","$41,652","$50,193","$60,257","$65,642","$80,521"
111--Agricultural Products,"$50,826","$60,246","$71,989","$71,078","$68,935","$72,929","$62,912","$67,578","$68,726","$67,116","$64,409","$72,733","$86,611","$97,939","$80,217","$79,560"
331--Primary Metal Manufactures,"$40,656","$53,540","$76,420","$78,404","$73,407","$64,073","$55,716","$51,844","$56,506","$59,352","$52,886","$57,039","$77,040","$88,820","$74,195","$75,812"
