Industries,Group ,Subgroup,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Farms,Primary Industries,"Agriculture, forestry, fishing, and hunting",219380,207822,199949,204313,212334,202363,227873,263177,253551,256244,304793,327859,297681,320921,380318,404166,437566,442202,403163,379793,395529,395074,388056,389475,472905,574223,555343
"Forestry, fishing, and related activities",Primary Industries,"Agriculture, forestry, fishing, and hunting",38500,41946,45364,39279,39016,39510,41425,45375,46637,47799,44557,44786,41297,45657,49175,46892,49830,56379,54733,51122,53382,53053,50994,53806,61457,65499,66345
Oil and gas extraction,Primary Industries,Mining,98754,72923,85516,142980,142297,116711,165971,191023,249243,257415,276907,388369,227567,304698,372941,362616,412752,445747,241538,199796,253994,346639,316004,210508,421929,652942,478748
"Mining, except oil and gas",Primary Industries,Mining,56374,55520,53050,54675,55091,54443,57393,67311,84277,100826,104500,116163,104941,112694,130883,124610,114386,116134,104439,94841,101852,106906,106096,96316,115877,135150,136909
Support activities for mining,Primary Industries,Mining,22101,23409,17542,20888,29204,24830,29532,41727,60957,86920,94912,110034,72385,82696,97964,126190,128163,165762,135473,73078,106929,132025,135631,78964,70194,87563,103802
Utilities,Utilities & Construction,Utilities,262058,267893,314817,373258,446522,325186,343190,351763,416228,421978,451632,524903,436524,494491,484909,461579,484352,520748,492325,470474,474119,515495,517969,494472,594162,699270,640276
Construction,Utilities & Construction,Construction,709096,779599,841616,913831,956791,969865,1039410,1158007,1287092,1353608,1338945,1275759,1098747,1016645,1020455,1075477,1158801,1264667,1395463,1508627,1577966,1661960,1732164,1809848,1990201,2194506,2335903
Wood products,Manufacturing,Durable goods,88556,91834,98116,94537,87501,90009,92253,105673,114550,114314,102844,88840,65869,71882,72932,80398,89953,96667,99807,103210,108455,120358,112381,123457,162943,174157,168707
Nonmetallic mineral products,Manufacturing,Durable goods,85870,91655,95711,97722,94429,95269,96562,102379,113227,125799,128485,114425,90035,92358,94064,99293,105777,113397,118871,124845,127320,131415,135072,133623,145360,158048,161769
Primary metals,Manufacturing,Durable goods,168296,166657,156655,155736,136979,139215,137730,181886,202536,233116,256421,280348,167211,235713,281516,269219,263362,265772,228390,204422,222887,254587,235954,199221,279510,324672,318866
Fabricated metal products,Manufacturing,Durable goods,243680,254495,257194,269055,252483,246806,244231,260210,287882,316645,342762,357756,280361,295614,326856,343079,350435,360645,352974,342937,346279,373231,377502,346832,391353,430176,431618
