Product,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0--All Merchandise,"$1,559,625","$1,913,857","$2,207,954","$2,276,267","$2,267,987","$2,356,356","$2,248,811","$2,186,786","$2,339,591","$2,536,145","$2,491,700","$2,331,477","$2,828,515","$3,239,873","$3,080,170","$3,267,389"
334--Computer & Electronic Products,"$266,612","$325,050","$344,054","$347,794","$351,379","$366,603","$376,038","$372,664","$400,123","$413,017","$388,491","$392,197","$464,470","$516,843","$482,296","$551,708"
336--Transportation Equipment,"$180,212","$241,172","$270,439","$318,036","$334,176","$356,731","$379,265","$374,773","$384,971","$401,717","$411,452","$332,211","$361,920","$411,035","$477,030","$494,212"
325--Chemicals,"$155,313","$176,331","$201,851","$197,900","$195,425","$205,732","$213,842","$214,695","$217,956","$252,619","$261,550","$271,204","$313,665","$362,620","$350,301","$393,780"
"333--Machinery, Except Electrical","$87,824","$105,558","$135,164","$151,253","$146,853","$161,242","$158,568","$151,622","$169,009","$187,950","$189,169","$170,299","$207,456","$234,489","$240,651","$247,853"
"335--Electrical Equipment, Appliances & Components","$56,028","$69,276","$76,629","$89,261","$93,965","$100,211","$104,250","$104,133","$113,662","$125,199","$124,106","$126,815","$155,186","$176,702","$179,231","$195,661"
211--Oil & Gas,"$212,969","$280,195","$353,099","$326,727","$286,286","$263,230","$135,252","$109,365","$142,661","$166,768","$135,436","$83,114","$146,048","$219,169","$177,107","$176,469"
339--Miscellaneous Manufactures,"$82,344","$97,752","$104,439","$101,840","$107,770","$111,635","$115,527","$118,343","$121,248","$128,574","$127,172","$119,036","$167,031","$174,399","$157,316","$155,326"
331--Primary Metal Manufactures,"$55,578","$79,640","$103,491","$101,464","$92,283","$101,223","$84,970","$79,982","$91,899","$96,104","$86,475","$128,662","$135,426","$153,387","$130,503","$133,481"
311--Processed Foods,"$36,228","$41,108","$50,192","$54,347","$52,823","$57,193","$58,505","$57,933","$60,866","$67,302","$68,644","$72,869","$86,878","$105,809","$106,124","$117,810"
980--Goods Returned (Exports for Canada Only),"$36,986","$40,911","$44,647","$51,978","$55,253","$59,933","$65,739","$67,590","$70,873","$81,014","$91,336","$81,533","$96,122","$90,787","$98,132","$99,391"
332--Fabricated Metal Products,"$40,113","$47,148","$54,155","$61,162","$62,106","$66,558","$68,482","$66,389","$69,713","$77,485","$75,814","$70,073","$87,522","$101,128","$92,460","$98,488"
