Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Private education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government,Year,Month_num
2013-01-01,135257,113388,853,5746,11962,5640.0,14887.8,4465.0,551.7,2662,7837,18340,20948,14037,5458,21869,2806,5029,14034,2013,1
2013-02-01,135545,113664,858,5784,11974,5640.8,14912.7,4463.3,552.1,2698,7851,18433,20959,14082,5456,21881,2806,5045,14030,2013,2
2013-03-01,135689,113819,860,5802,11977,5644.4,14912.3,4456.9,550.6,2700,7856,18489,21007,14113,5451,21870,2794,5052,14024,2013,3
2013-04-01,135873,114004,857,5796,11978,5644.4,14922.3,4471.4,552.2,2696,7872,18551,21057,14152,5455,21869,2794,5047,14028,2013,4
2013-05-01,136095,114231,861,5829,11978,5651.1,14953.8,4467.5,553.0,2710,7883,18605,21076,14193,5471,21864,2775,5049,14040,2013,5
2013-06-01,136279,114439,864,5855,11982,5654.7,15001.3,4471.8,554.5,2705,7887,18651,21082,14252,5479,21840,2771,5038,14031,2013,6
2013-07-01,136391,114576,863,5859,11962,5662.6,15046.1,4463.9,552.0,2720,7904,18698,21073,14288,5484,21815,2761,5025,14029,2013,7
2013-08-01,136646,114815,867,5878,11992,5670.2,15091.6,4479.8,551.5,2691,7902,18725,21147,14327,5493,21831,2754,5045,14032,2013,8
2013-09-01,136821,114986,868,5910,12010,5680.7,15119.1,4506.2,551.5,2708,7903,18755,21133,14339,5502,21835,2753,5050,14032,2013,9
2013-10-01,137041,115211,868,5931,12033,5672.2,15146.2,4512.2,551.0,2718,7912,18805,21158,14395,5509,21830,2739,5057,14034,2013,10
2013-11-01,137316,115473,868,5963,12054,5682.4,15175.8,4529.8,551.2,2722,7911,18873,21200,14432,5511,21843,2746,5056,14041,2013,11
2013-12-01,137373,115553,866,5932,12060,5689.8,15231.0,4541.2,550.2,2727,7916,18862,21199,14454,5525,21820,2741,5053,14026,2013,12
2014-01-01,137561,115747,871,5985,12058,5703.1,15214.9,4561.9,549.1,2724,7913,18909,21236,14489,5533,21814,2736,5052,14026,2014,1
2014-02-01,137712,115887,875,6007,12084,5708.1,15189.6,4556.8,549.2,2718,7932,18971,21252,14509,5535,21825,2731,5057,14037,2014,2
2014-03-01,137985,116152,879,6038,12096,5713.6,15217.9,4572.6,551.1,2725,7932,19018,21292,14564,5553,21833,2728,5055,14050,2014,3
2014-04-01,138297,116444,886,6084,12109,5729.3,15255.9,4586.5,550.1,2721,7944,19076,21323,14614,5565,21853,2728,5055,14070,2014,4
2014-05-01,138512,116680,888,6109,12120,5735.0,15265.1,4614.8,550.1,2717,7951,19117,21375,14670,5568,21832,2728,5051,14053,2014,5
2014-06-01,138849,116954,893,6133,12146,5747.5,15306.0,4634.0,550.8,2722,7965,19178,21424,14693,5562,21895,2729,5058,14108,2014,6
2014-07-01,139073,117172,897,6178,12165,5749.8,15329.1,4661.5,551.7,2725,7980,19216,21450,14703,5566,21901,2731,5035,14135,2014,7
2014-08-01,139269,117414,899,6210,12182,5748.5,15338.0,4676.2,553.7,2733,7994,19274,21501,14725,5580,21855,2735,5016,14104,2014,8
2014-09-01,139563,117666,904,6242,12201,5753.4,15367.6,4690.1,551.4,2734,8009,19330,21541,14768,5574,21897,2735,5041,14121,2014,9
2014-10-01,139797,117880,899,6259,12233,5756.6,15404.8,4710.0,552.2,2727,8018,19359,21569,14811,5581,21917,2735,5046,14136,2014,10
2014-11-01,140090,118158,899,6272,12260,5760.2,15430.1,4732.6,552.3,2735,8036,19415,21626,14849,5591,21932,2740,5053,14139,2014,11
2014-12-01,140364,118417,895,6293,12266,5768.3,15444.4,4760.5,553.8,2737,8042,19494,21678,14892,5593,21947,2743,5059,14145,2014,12
2015-01-01,140568,118608,888,6320,12265,5770.9,15462.0,4769.8,554.5,2740,8059,19519,21746,14915,5599,21960,2745,5065,14150,2015,1
2015-02-01,140827,118849,875,6361,12275,5780.2,15478.7,4786.0,554.3,2741,8070,19563,21787,14972,5606,21978,2747,5071,14160,2015,2
2015-03-01,140923,118953,860,6334,12286,5783.0,15509.6,4799.0,554.7,2737,8081,19592,21829,14981,5607,21970,2748,5067,14155,2015,3
2015-04-01,141196,119191,844,6392,12291,5778.7,15522.1,4805.9,555.0,2742,8086,19635,21902,15023,5614,22005,2763,5070,14172,2015,4
2015-05-01,141538,119526,823,6427,12306,5784.9,15557.3,4828.1,556.2,2747,8097,19718,21956,15103,5622,22012,2753,5074,14185,2015,5
2015-06-01,141709,119694,817,6441,12307,5785.7,15567.8,4855.2,555.4,2748,8115,19768,22011,15108,5615,22015,2754,5073,14188,2015,6
2015-07-01,141991,119941,807,6472,12323,5784.1,15582.8,4878.6,556.3,2752,8134,19803,22052,15168,5628,22050,2756,5073,14221,2015,7
2015-08-01,142125,120065,794,6490,12318,5785.2,15589.2,4889.4,558.3,2751,8145,19835,22088,15201,5621,22060,2760,5077,14223,2015,8
2015-09-01,142275,120235,780,6508,12326,5775.2,15579.8,4898.4,556.9,2764,8152,19855,22140,15279,5621,22040,2759,5083,14198,2015,9
2015-10-01,142579,120523,770,6547,12334,5776.3,15619.3,4898.8,556.1,2766,8167,19930,22212,15316,5630,22056,2759,5084,14213,2015,10
2015-11-01,142808,120727,755,6598,12329,5778.6,15625.5,4914.7,556.6,2751,8182,19965,22260,15374,5638,22081,2766,5090,14225,2015,11
2015-12-01,143077,120980,746,6630,12333,5775.9,15630.8,4946.0,556.0,2761,8189,20035,22318,15406,5653,22097,2776,5088,14233,2015,12
2016-01-01,143210,121096,732,6631,12354,5779.7,15664.8,4914.5,555.9,2762,8207,20046,22348,15454,5647,22114,2771,5090,14253,2016,1
2016-02-01,143407,121269,710,6640,12337,5775.4,15715.1,4930.3,557.1,2775,8210,20058,22401,15494,5666,22138,2778,5085,14275,2016,2
2016-03-01,143662,121484,691,6678,12313,5779.9,15769.3,4948.9,555.4,2785,8226,20082,22447,15535,5673,22178,2783,5092,14303,2016,3
2016-04-01,143855,121671,678,6702,12325,5784.3,15767.2,4964.8,555.6,2789,8249,20113,22503,15562,5678,22184,2785,5097,14302,2016,4
2016-05-01,143900,121701,667,6689,12303,5781.9,15772.9,4979.9,554.4,2751,8265,20120,22564,15583,5670,22199,2792,5092,14315,2016,5
2016-06-01,144146,121966,657,6701,12321,5777.1,15790.0,4984.1,556.0,2801,8281,20162,22615,15639,5682,22180,2797,5107,14276,2016,6
2016-07-01,144520,122231,652,6735,12342,5781.5,15805.2,5009.2,556.7,2799,8304,20208,22669,15679,5690,22289,2800,5115,14374,2016,7
2016-08-01,144662,122378,647,6736,12319,5784.1,15822.3,5035.8,556.7,2803,8320,20212,22715,15725,5702,22284,2803,5115,14366,2016,8
2016-09-01,144967,122644,645,6768,12317,5794.5,15829.4,5030.8,556.7,2817,8327,20281,22779,15785,5714,22323,2806,5150,14367,2016,9
