YearMonth,export_price_index
2013-01,121.3
2013-02,121.9
2013-03,121.7
2013-04,121.1
2013-05,120.4
2013-06,120.3
2013-07,120.3
2013-08,120.3
2013-09,120.7
2013-10,120.0
2013-11,120.0
2013-12,120.4
2014-01,120.3
2014-02,120.8
2014-03,121.2
2014-04,120.8
2014-05,120.9
2014-06,120.6
2014-07,121.0
2014-08,120.6
2014-09,120.3
2014-10,119.5
2014-11,118.3
2014-12,117.1
2015-01,115.3
2015-02,115.5
2015-03,115.5
2015-04,114.7
2015-05,115.3
2015-06,115.1
2015-07,114.6
2015-08,113.3
2015-09,112.9
2015-10,112.5
2015-11,111.9
2015-12,110.7
2016-01,109.8
2016-02,109.4
2016-03,109.6
2016-04,110.0
2016-05,110.8
2016-06,111.3
2016-07,111.5
2016-08,111.0
2016-09,111.3
2016-10,111.5
2016-11,111.5
2016-12,111.5
2017-01,111.7
2017-02,111.9
2017-03,112.1
2017-04,112.4
2017-05,111.9
2017-06,112.0
2017-07,112.2
2017-08,113.0
2017-09,113.9
2017-10,113.8
2017-11,114.3
2017-12,114.3
2018-01,115.1
2018-02,115.6
2018-03,115.7
2018-04,116.5
2018-05,117.2
2018-06,117.3
2018-07,117.4
2018-08,117.3
2018-09,117.4
2018-10,118.0
2018-11,117.0
2018-12,115.8
2019-01,115.8
2019-02,116.5
2019-03,117.0
2019-04,117.4
2019-05,117.3
2019-06,116.6
2019-07,117.0
2019-08,116.7
2019-09,116.5
2019-10,116.3
2019-11,116.3
2019-12,116.1
2020-01,116.9
2020-02,116.2
2020-03,115.7
2020-04,112.7
2020-05,112.5
2020-06,113.4
2020-07,114.2
2020-08,114.7
2020-09,115.1
2020-10,115.1
2020-11,115.4
2020-12,116.4
2021-01,118.1
2021-02,119.3
2021-03,121.8
2021-04,123.4
2021-05,125.2
2021-06,126.3
2021-07,126.7
2021-08,127.0
2021-09,127.1
2021-10,128.5
2021-11,129.0
2021-12,128.4
2022-01,130.8
2022-02,133.1
2022-03,137.2
2022-04,138.5
2022-05,141.3
2022-06,141.9
2022-07,140.1
2022-08,137.5
2022-09,136.7
2022-10,137.2
2022-11,136.5
2022-12,133.6
2023-01,134.5
2023-02,135.2
2023-03,135.2
2023-04,135.2
2023-05,133.6
2023-06,133.3
2023-07,133.1
2023-08,134.7
2023-09,135.0
2023-10,134.2
2023-11,133.6
2023-12,132.8
2024-01,133.0
2024-02,133.8
2024-03,134.5
2024-04,135.4
2024-05,134.8
2024-06,134.5
2024-07,135.5
2024-08,135.0
2024-09,134.6
2024-10,135.6
2024-11,135.6
2024-12,135.3
