YearMonth,all_employees_thousands,unemployment_rate,job_opennings_thousands,avg_hourly_earnings_dollars,avg_weekly_work_hours,producer_price_index,import_price_index,export_price_index
2013-01,11962.0,7.9,251.0,24.03,40.6,192.6,117.6,121.3
2013-02,11974.0,7.2,276.0,24.12,40.8,195.2,117.7,121.9
2013-03,11977.0,6.4,260.0,24.14,40.8,194.5,117.6,121.7
2013-04,11978.0,6.4,257.0,24.21,40.8,194.0,117.2,121.1
2013-05,11978.0,6.8,253.0,24.3,40.7,194.0,116.5,120.4
2013-06,11982.0,6.4,223.0,24.35,40.8,193.9,116.2,120.3
2013-07,11962.0,6.9,254.0,24.35,40.7,194.0,115.9,120.3
2013-08,11992.0,6.2,286.0,24.4,40.9,194.6,115.9,120.3
2013-09,12010.0,6.9,270.0,24.47,40.9,194.3,115.9,120.7
2013-10,12033.0,6.2,302.0,24.46,40.9,193.7,115.9,120.0
2013-11,12054.0,6.2,272.0,24.57,40.9,192.7,115.8,120.0
2013-12,12060.0,5.5,265.0,24.59,41.0,193.2,115.7,120.4
2014-01,12058.0,5.6,261.0,24.66,40.7,194.2,116.0,120.3
2014-02,12084.0,5.5,279.0,24.71,40.7,195.2,116.3,120.8
2014-03,12096.0,5.4,284.0,24.71,41.0,196.2,116.5,121.2
2014-04,12109.0,5.2,288.0,24.68,40.9,197.5,116.3,120.8
2014-05,12120.0,5.3,301.0,24.71,41.1,197.2,116.6,120.9
2014-06,12146.0,4.4,320.0,24.82,41.1,197.2,116.7,120.6
2014-07,12165.0,5.2,330.0,24.83,40.9,197.4,116.5,121.0
2014-08,12182.0,5.0,327.0,24.87,41.0,197.4,116.5,120.6
2014-09,12201.0,4.5,312.0,24.81,41.0,196.8,116.2,120.3
2014-10,12233.0,4.3,301.0,24.89,41.0,194.8,115.5,119.5
2014-11,12260.0,4.2,285.0,24.91,41.1,192.7,114.9,118.3
2014-12,12266.0,3.9,281.0,24.9,41.0,189.1,114.3,117.1
2015-01,12265.0,5.2,322.0,24.97,40.9,185.0,112.8,115.3
2015-02,12275.0,5.2,301.0,25.02,40.9,185.4,112.5,115.5
2015-03,12286.0,4.8,324.0,25.08,40.8,186.2,112.3,115.5
2015-04,12291.0,4.0,334.0,25.1,40.8,185.7,111.8,114.7
2015-05,12306.0,4.6,332.0,25.14,40.7,188.2,112.0,115.3
2015-06,12307.0,3.9,294.0,25.12,40.6,188.9,111.8,115.1
2015-07,12323.0,4.3,374.0,25.21,40.8,188.5,111.4,114.6
2015-08,12318.0,4.0,320.0,25.35,40.9,187.0,110.7,113.3
2015-09,12326.0,4.1,317.0,25.38,40.6,184.3,110.2,112.9
2015-10,12334.0,4.0,321.0,25.41,40.7,183.7,109.7,112.5
2015-11,12329.0,4.0,258.0,25.49,40.7,182.9,109.5,111.9
2015-12,12333.0,4.0,305.0,25.51,40.6,180.8,109.0,110.7
2016-01,12354.0,4.3,319.0,25.59,40.7,179.7,108.3,109.8
2016-02,12337.0,4.7,316.0,25.64,40.7,178.7,108.2,109.4
2016-03,12313.0,4.3,335.0,25.74,40.7,179.3,108.1,109.6
2016-04,12325.0,4.5,402.0,25.85,40.7,180.5,108.3,110.0
2016-05,12303.0,4.7,358.0,25.95,40.7,181.9,108.9,110.8
2016-06,12321.0,3.7,375.0,25.97,40.7,183.6,109.0,111.3
2016-07,12342.0,4.3,383.0,26.0,40.7,183.4,109.1,111.5
2016-08,12319.0,4.2,331.0,26.1,40.7,182.5,108.9,111.0
2016-09,12317.0,4.2,322.0,26.11,40.7,183.0,108.9,111.3
2016-10,12316.0,4.3,299.0,26.26,40.8,183.7,109.0,111.5
2016-11,12311.0,3.9,317.0,26.23,40.6,183.2,109.0,111.5
2016-12,12324.0,4.0,338.0,26.3,40.7,183.9,109.0,111.5
