YearQuarter,gross_job_gains_thousand_persons,gross_job_losses_thousand_persons,num_private_establishment_count,num_priv_estab_gross_job_gains_thousands,num_priv_estab_gross_job_losses_thousands,labor_productivity_pct_qoq_change,labor_output_pct_qoq_change,working_hours_pct_qoq_change,unit_labor_cost_pct_qoq_change,priv_wage_salaries_cost_pct_change_Estimate Value,priv_wage_salaries_cost_pct_change_Standard Error,priv_wage_salaries_cost_dollars_per_hour_Estimate Value,priv_wage_salaries_cost_dollars_per_hour_Relative Standard Error,priv_total_compensation_cost_pct_change_Estimate Value,priv_total_compensation_cost_pct_change_Standard Error,priv_total_compensation_cost_dollars_per_hour_Estimate Value,priv_total_compensation_cost_dollars_per_hour_Relative Standard Error
2013 Q1,405.0,379.0,333565.0,93.0,91.0,4.7,5.2,0.5,-7.0,1.8,0.2,22.22,1.7,2.0,0.2,33.79,1.9
2013 Q2,419.0,387.0,334186.0,95.0,88.0,1.6,1.8,0.3,0.9,2.1,0.2,22.29,1.7,2.0,0.1,33.84,1.8
2013 Q3,410.0,400.0,335454.0,94.0,90.0,-0.4,0.9,1.3,0.5,2.0,0.1,22.34,1.7,1.8,0.2,33.93,1.9
2013 Q4,422.0,395.0,335757.0,95.0,88.0,1.4,2.4,1.0,0.9,2.1,0.2,22.95,2.2,1.8,0.2,35.14,2.4
2014 Q1,403.0,372.0,335950.0,93.0,91.0,-1.0,-1.1,-0.1,9.1,2.0,0.2,23.16,2.3,2.1,0.2,35.6,2.5
2014 Q2,436.0,372.0,337332.0,97.0,88.0,0.2,4.6,4.4,-2.4,2.1,0.2,23.29,2.3,2.1,0.2,35.74,2.5
2014 Q3,412.0,390.0,338358.0,95.0,89.0,-0.8,1.1,2.0,3.1,2.1,0.2,23.36,2.2,2.2,0.2,35.9,2.5
2014 Q4,439.0,379.0,339400.0,97.0,88.0,-4.4,-0.1,4.6,8.5,2.2,0.2,23.95,2.4,2.4,0.2,36.73,2.5
2015 Q1,392.0,393.0,338804.0,92.0,93.0,-2.8,-4.5,-1.7,7.8,2.4,0.1,24.04,2.4,2.3,0.2,36.87,2.5
2015 Q2,431.0,399.0,339871.0,95.0,91.0,0.7,-1.2,-1.9,2.2,2.4,0.2,24.1,2.4,2.5,0.2,36.96,2.5
