YearMonth,avg_hourly_earnings_dollars
2013-01,24.03
2013-02,24.12
2013-03,24.14
2013-04,24.21
2013-05,24.3
2013-06,24.35
2013-07,24.35
2013-08,24.4
2013-09,24.47
2013-10,24.46
2013-11,24.57
2013-12,24.59
2014-01,24.66
2014-02,24.71
2014-03,24.71
2014-04,24.68
2014-05,24.71
2014-06,24.82
2014-07,24.83
2014-08,24.87
2014-09,24.81
2014-10,24.89
2014-11,24.91
2014-12,24.9
2015-01,24.97
2015-02,25.02
2015-03,25.08
2015-04,25.1
2015-05,25.14
2015-06,25.12
2015-07,25.21
2015-08,25.35
2015-09,25.38
2015-10,25.41
2015-11,25.49
2015-12,25.51
2016-01,25.59
2016-02,25.64
2016-03,25.74
2016-04,25.85
2016-05,25.95
2016-06,25.97
2016-07,26.0
2016-08,26.1
2016-09,26.11
2016-10,26.26
2016-11,26.23
2016-12,26.3
2017-01,26.36
2017-02,26.39
2017-03,26.4
2017-04,26.53
2017-05,26.5
2017-06,26.52
2017-07,26.63
2017-08,26.56
2017-09,26.69
2017-10,26.72
2017-11,26.72
2017-12,26.75
2018-01,26.84
2018-02,26.83
2018-03,26.91
2018-04,26.94
2018-05,26.93
2018-06,26.99
2018-07,26.98
2018-08,27.05
2018-09,27.09
2018-10,27.13
2018-11,27.24
2018-12,27.28
2019-01,27.25
2019-02,27.43
2019-03,27.48
2019-04,27.44
2019-05,27.56
2019-06,27.65
2019-07,27.69
2019-08,27.75
2019-09,27.83
2019-10,27.88
2019-11,28.0
2019-12,28.14
2020-01,28.2
2020-02,28.27
2020-03,28.39
2020-04,29.24
2020-05,29.01
2020-06,28.64
2020-07,28.74
2020-08,28.89
2020-09,28.85
2020-10,28.86
2020-11,28.96
2020-12,28.99
2021-01,29.04
2021-02,29.18
2021-03,29.16
2021-04,29.3
2021-05,29.52
2021-06,29.6
2021-07,29.73
2021-08,29.82
2021-09,29.98
2021-10,30.11
2021-11,30.18
2021-12,30.34
2022-01,30.53
2022-02,30.48
2022-03,30.59
2022-04,30.78
2022-05,30.83
2022-06,30.82
2022-07,30.93
2022-08,31.03
2022-09,31.12
2022-10,31.29
2022-11,31.37
2022-12,31.47
2023-01,31.65
2023-02,31.69
2023-03,31.85
2023-04,32.03
2023-05,32.15
2023-06,32.38
2023-07,32.57
2023-08,32.59
2023-09,32.76
2023-10,32.84
2023-11,33.03
2023-12,33.21
2024-01,33.34
2024-02,33.42
2024-03,33.6
2024-04,33.62
2024-05,33.8
2024-06,34.0
2024-07,34.08
2024-08,34.18
2024-09,34.26
2024-10,34.36
2024-11,34.47
2024-12,34.54
