Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Private education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
Mar-05,"133,152","111,412",616,"7,181","14,268","5,669.20","15,165.90","4,320.30",555,"3,062","8,139","16,826","17,506","12,718","5,386","21,740","2,733","5,013","13,994"
Apr-05,"133,519","111,765",620,"7,266","14,249","5,681.10","15,215.20","4,335.50",554.2,"3,066","8,150","16,888","17,546","12,802","5,392","21,754","2,725","5,019","14,010"
May-05,"133,689","111,908",621,"7,294","14,255","5,692.70","15,232.10","4,345.20",553.8,"3,062","8,154","16,910","17,607","12,797","5,384","21,781","2,734","5,022","14,025"
Jun-05,"133,947","112,184",624,"7,333","14,227","5,703.20","15,266.20","4,345.90",553.2,"3,057","8,172","16,999","17,669","12,837","5,397","21,763","2,733","5,029","14,001"
Jul-05,"134,300","112,443",626,"7,353","14,225","5,712.60","15,307.70","4,358.40",553.9,"3,061","8,191","17,065","17,719","12,867","5,403","21,857","2,728","5,040","14,089"
Aug-05,"134,503","112,640",630,"7,394","14,200","5,722.60","15,323.90","4,363.40",554.7,"3,063","8,215","17,124","17,759","12,891","5,399","21,863","2,731","5,038","14,094"
Sep-05,"134,554","112,709",635,"7,415","14,173","5,728.00","15,297.60","4,366.50",553.3,"3,070","8,224","17,195","17,793","12,862","5,397","21,845","2,732","5,040","14,073"
Oct-05,"134,643","112,814",641,"7,460","14,189","5,736.00","15,294.60","4,373.30",553.1,"3,055","8,259","17,216","17,811","12,840","5,386","21,829","2,735","5,037","14,057"
Nov-05,"134,999","113,140",647,"7,524","14,184","5,748.60","15,325.60","4,386.50",552.4,"3,055","8,281","17,297","17,861","12,884","5,394","21,859","2,739","5,045","14,075"
Dec-05,"135,158","113,279",651,"7,533","14,189","5,761.00","15,331.20","4,391.30",549.8,"3,052","8,284","17,330","17,893","12,905","5,409","21,879","2,733","5,061","14,085"
Jan-06,"135,426","113,579",656,"7,601","14,208","5,780.50","15,318.90","4,407.90",549.9,"3,054","8,305","17,383","17,946","12,945","5,424","21,847","2,727","5,033","14,087"
Feb-06,"135,731","113,853",661,"7,664","14,208","5,796.50","15,325.60","4,418.10",550.1,"3,052","8,333","17,444","17,996","12,980","5,425","21,878","2,733","5,049","14,096"
Mar-06,"136,036","114,133",668,"7,689","14,210","5,811.90","15,351.80","4,417.80",547.7,"3,055","8,350","17,530","18,042","13,034","5,426","21,903","2,733","5,059","14,111"
Apr-06,"136,208","114,289",678,"7,726","14,223","5,823.70","15,317.00","4,433.30",549,"3,047","8,372","17,552","18,068","13,074","5,426","21,919","2,733","5,064","14,122"
